From_Class,To_Class,Count
3,3,16117185.0
3,5,44348.0
3,9,12018.0
3,11,9469.0
3,15,436490.0
3,20,5323.0
3,21,13593.0
3,23,1979.0
3,24,555.0
3,25,4208.0
3,31,6.0
3,32,9346.0
3,33,3211.0
3,41,5179.0
3,46,26732.0
3,48,1.0
3,49,2172.0
3,50,9.0
5,3,15669.0
5,5,12487474.0
5,9,8711.0
5,11,343.0
5,15,18843.0
5,20,29.0
5,21,63.0
5,23,289.0
5,24,1.0
5,25,215.0
5,31,10.0
5,32,18.0
5,33,41.0
5,41,15.0
5,46,31.0
9,3,14337.0
9,5,15797.0
9,9,9757899.0
9,11,681.0
9,15,66034.0
9,20,5793.0
9,21,2.0
9,23,19.0
9,24,1.0
9,25,64.0
9,31,636.0
9,32,21.0
9,33,323.0
9,41,18.0
9,46,1.0
9,48,40.0
9,49,2.0
11,3,41416.0
11,5,5485.0
11,9,896.0
11,11,6729422.0
11,15,33955.0
11,20,27760.0
11,21,165.0
11,23,163.0
11,24,335.0
11,25,432.0
11,31,512.0
11,32,46.0
11,33,128.0
11,41,555.0
11,46,52.0
11,48,1027.0
11,49,23.0
11,50,19.0
15,3,302401.0
15,5,39996.0
15,9,65689.0
15,11,8370.0
15,15,4785421.0
15,20,28387.0
15,21,4013.0
15,23,7171.0
15,24,548.0
15,25,2781.0
15,31,125.0
15,32,1942.0
15,33,615.0
15,41,3453.0
15,46,454.0
15,48,27.0
15,49,381.0
15,50,7.0
20,3,1933.0
20,5,108.0
20,9,5754.0
20,11,27132.0
20,15,21830.0
20,20,3129526.0
20,21,409.0
20,23,322.0
20,24,1093.0
20,25,424.0
20,31,958.0
20,41,3971.0
20,46,3.0
20,48,108.0
20,50,115.0
21,3,6174.0
21,5,87.0
21,11,90.0
21,15,2623.0
21,20,398.0
21,21,933228.0
21,23,9.0
21,24,1981.0
21,25,101.0
21,41,194.0
23,3,786.0
23,5,478.0
23,9,15.0
23,11,130.0
23,15,3423.0
23,20,205.0
23,21,17.0
23,23,775182.0
23,24,16.0
23,25,2.0
23,31,29.0
23,32,2.0
23,33,115.0
23,41,9.0
24,3,1795.0
24,5,82.0
24,9,4.0
24,11,2575.0
24,15,2167.0
24,20,1741.0
24,21,4350.0
24,23,10.0
24,24,311778.0
24,25,306.0
24,41,742.0
25,3,87.0
25,5,1.0
25,9,8.0
25,11,6.0
25,15,164.0
25,20,239.0
25,21,5.0
25,24,149.0
25,25,494517.0
25,31,6.0
25,41,8.0
31,3,12.0
31,5,2.0
31,9,813.0
31,11,791.0
31,15,142.0
31,20,1390.0
31,23,150.0
31,25,21.0
31,31,250526.0
31,41,2.0
31,48,1201.0
32,3,7052.0
32,5,30.0
32,9,86.0
32,11,897.0
32,15,2772.0
32,20,16.0
32,21,1.0
32,23,8.0
32,25,4.0
32,32,207050.0
32,33,599.0
32,49,6.0
33,3,598.0
33,5,109.0
33,9,16.0
33,15,76.0
33,32,335.0
33,33,50076.0
33,46,228.0
33,49,126.0
41,3,155.0
41,5,17.0
41,9,5.0
41,11,164.0
41,15,679.0
41,20,4138.0
41,21,235.0
41,23,3.0
41,24,527.0
41,25,8.0
41,41,28576.0
41,48,5.0
46,3,347.0
46,5,5.0
46,11,2.0
46,15,49.0
46,33,2.0
46,41,2.0
46,46,82818.0
48,3,2.0
48,9,78.0
48,11,740.0
48,15,23.0
48,20,429.0
48,23,19.0
48,25,41.0
48,31,255.0
48,41,2.0
48,48,16422.0
48,50,23.0
49,3,14.0
49,15,6.0
49,49,8481.0
50,11,4.0
50,15,10.0
50,20,85.0
50,48,26.0
50,50,124.0
