From_Class,To_Class,Count
3,3,17689890.0
3,5,106039.0
3,9,15886.0
3,11,38732.0
3,15,430688.0
3,20,1927.0
3,21,7987.0
3,23,2263.0
3,24,4382.0
3,25,6249.0
3,31,16.0
3,32,17383.0
3,33,2900.0
3,41,441.0
3,46,1364.0
3,48,2.0
5,3,36119.0
5,5,13525909.0
5,9,43902.0
5,11,1710.0
5,15,41252.0
5,20,87.0
5,21,9.0
5,23,488.0
5,24,2.0
5,25,839.0
5,31,49.0
5,32,6.0
5,41,74.0
9,3,19302.0
9,5,19420.0
9,9,10994366.0
9,11,911.0
9,15,63583.0
9,20,4764.0
9,21,1.0
9,23,22.0
9,24,12.0
9,25,100.0
9,31,835.0
9,32,299.0
9,33,12.0
9,41,13.0
9,46,1.0
9,48,5.0
11,3,92575.0
11,5,1066.0
11,9,876.0
11,11,8556436.0
11,15,49418.0
11,20,26443.0
11,21,163.0
11,23,167.0
11,24,3186.0
11,25,777.0
11,31,698.0
11,32,306.0
11,33,276.0
11,41,616.0
11,46,5.0
11,48,435.0
15,3,447900.0
15,5,60360.0
15,9,51346.0
15,11,38928.0
15,15,5279965.0
15,20,17592.0
15,21,3234.0
15,23,2923.0
15,24,6111.0
15,25,3948.0
15,31,97.0
15,32,4901.0
15,33,354.0
15,41,924.0
15,46,560.0
15,48,7.0
20,3,4169.0
20,5,42.0
20,9,7047.0
20,11,35560.0
20,15,18045.0
20,20,3665865.0
20,21,456.0
20,23,108.0
20,24,3823.0
20,25,479.0
20,31,1880.0
20,33,4.0
20,41,3068.0
20,48,165.0
21,3,4954.0
21,5,210.0
21,9,1.0
21,11,222.0
21,15,3413.0
21,20,563.0
21,21,965896.0
21,23,8.0
21,24,15429.0
21,25,305.0
21,41,74.0
23,3,1944.0
23,5,1001.0
23,9,29.0
23,11,167.0
23,15,5433.0
23,20,82.0
23,21,11.0
23,23,905467.0
23,24,33.0
23,31,40.0
23,32,2.0
23,41,1.0
24,3,5842.0
24,5,2.0
24,9,5.0
24,11,4061.0
24,15,4572.0
24,20,3543.0
24,21,15116.0
24,23,61.0
24,24,437488.0
24,25,1813.0
24,41,2340.0
25,3,86.0
25,5,1.0
25,9,5.0
25,11,12.0
25,15,122.0
25,20,416.0
25,21,4.0
25,24,1291.0
25,25,453389.0
25,31,25.0
25,41,3.0
25,48,41.0
31,3,13.0
31,5,60.0
31,9,737.0
31,11,1084.0
31,15,170.0
31,20,1071.0
31,23,117.0
31,25,9.0
31,31,302995.0
31,48,93.0
32,3,1993.0
32,5,5.0
32,9,10.0
32,11,18.0
32,15,171.0
32,32,46623.0
32,33,377.0
33,3,2385.0
33,5,8.0
33,9,13.0
33,11,270.0
33,15,555.0
33,32,1115.0
33,33,55274.0
33,46,15.0
41,3,561.0
41,5,1.0
41,11,915.0
41,15,1853.0
41,20,1992.0
41,21,270.0
41,23,4.0
41,24,3500.0
41,25,91.0
41,31,1.0
41,41,36259.0
41,48,9.0
46,3,1376.0
46,15,332.0
46,33,44.0
46,46,4447.0
48,3,5.0
48,5,9.0
48,9,1.0
48,11,858.0
48,15,27.0
48,20,117.0
48,31,109.0
48,48,9839.0
49,49,522.0
