From_Class,To_Class,Count
3,3,20211437.0
3,5,99197.0
3,9,20091.0
3,11,71739.0
3,15,471560.0
3,20,8500.0
3,21,6474.0
3,23,2709.0
3,24,2617.0
3,25,5079.0
3,31,12.0
3,32,1771.0
3,33,7696.0
3,41,427.0
3,46,104.0
3,48,4.0
5,3,9148.0
5,5,12655557.0
5,9,139018.0
5,11,4835.0
5,15,16340.0
5,20,212.0
5,23,3373.0
5,24,3.0
5,25,9.0
5,31,486.0
5,32,1.0
5,33,116.0
5,41,32.0
9,3,47219.0
9,5,50886.0
9,9,9933495.0
9,11,1129.0
9,15,52402.0
9,20,6957.0
9,21,1.0
9,23,5.0
9,24,7.0
9,25,45.0
9,31,702.0
9,32,47.0
9,33,160.0
9,41,22.0
9,48,6.0
11,3,120219.0
11,5,2582.0
11,9,1093.0
11,11,8351243.0
11,15,56126.0
11,20,35011.0
11,21,189.0
11,23,195.0
11,24,3440.0
11,25,688.0
11,31,1113.0
11,32,21.0
11,33,398.0
11,41,919.0
11,48,1528.0
15,3,415916.0
15,5,40906.0
15,9,52859.0
15,11,50116.0
15,15,4853665.0
15,20,19269.0
15,21,2811.0
15,23,3788.0
15,24,5040.0
15,25,2096.0
15,31,214.0
15,32,245.0
15,33,77.0
15,41,2015.0
15,46,10.0
15,48,63.0
20,3,5477.0
20,5,178.0
20,9,8784.0
20,11,35122.0
20,15,24899.0
20,20,3731100.0
20,21,538.0
20,23,190.0
20,24,4608.0
20,25,216.0
20,31,1886.0
20,32,4.0
20,33,10.0
20,41,2209.0
20,48,275.0
21,3,8135.0
21,9,1.0
21,11,313.0
21,15,3721.0
21,20,490.0
21,21,1018175.0
21,23,10.0
21,24,11354.0
21,25,216.0
21,41,200.0
23,3,5644.0
23,5,355.0
23,9,32.0
23,11,447.0
23,15,4140.0
23,20,140.0
23,21,23.0
23,23,878324.0
23,24,45.0
23,31,115.0
23,41,2.0
24,3,3933.0
24,5,2.0
24,9,3.0
24,11,4053.0
24,15,9789.0
24,20,4428.0
24,21,18896.0
24,23,50.0
24,24,379216.0
24,25,2701.0
24,31,2.0
24,41,2948.0
25,3,86.0
25,9,5.0
25,11,13.0
25,15,99.0
25,20,245.0
25,21,6.0
25,24,816.0
25,25,345879.0
25,31,17.0
31,3,17.0
31,5,220.0
31,9,763.0
31,11,709.0
31,15,130.0
31,20,1914.0
31,23,80.0
31,24,1.0
31,25,46.0
31,31,286521.0
31,41,2.0
31,48,274.0
32,3,1088.0
32,5,3.0
32,9,3.0
32,11,6.0
32,15,68.0
32,20,9.0
32,32,8195.0
32,49,2.0
33,3,3489.0
33,5,135.0
33,9,146.0
33,11,461.0
33,15,293.0
33,20,90.0
33,32,66.0
33,33,48191.0
41,3,578.0
41,5,2.0
41,9,16.0
41,11,747.0
41,15,1660.0
41,20,1324.0
41,21,237.0
41,23,22.0
41,24,1797.0
41,25,42.0
41,31,8.0
41,41,35194.0
41,48,3.0
46,3,94.0
46,46,227.0
48,3,7.0
48,9,5.0
48,11,1309.0
48,15,37.0
48,20,174.0
48,31,375.0
48,48,14041.0
49,49,520.0
