Source,Target,Value
0,0,179057725
0,1,27082920
0,2,191679245
0,3,15986435
0,4,1194928255
1,0,143246180
1,1,21666336
1,2,153343396
1,3,12789148
1,4,955942604
2,0,250680815
2,1,37916088
2,2,268350943
2,3,22381009
2,4,1672899557
3,0,35811545
3,2,38335849
3,4,238985651
4,0,465550085
4,1,70415592
4,2,498366037
4,3,41564731
4,4,3106813463
