Source,Target,Value
0,0,9534790
0,1,5159760
0,2,1387185
0,3,453540
0,4,37621620
1,0,7627832
1,1,4127808
1,2,1109748
1,3,362832
1,4,30097296
2,0,13348706
2,1,7223664
2,2,1942059
2,3,634956
2,4,52670268
3,0,1906958
3,1,1031952
3,4,7524324
4,0,24790454
4,1,13415376
4,2,3606681
4,3,1179204
4,4,97816212
