Source,Target,Value
0,0,346442545
0,1,36777970
0,2,208148850
0,3,25514195
0,4,1154225565
1,0,277154036
1,1,29422376
1,2,166519080
1,3,20411356
1,4,923380452
2,0,485019563
2,1,51489158
2,2,291408390
2,3,35719873
2,4,1615915791
3,0,69288509
3,2,41629770
3,4,230845113
4,0,900750617
4,1,95622722
4,2,541187010
4,3,66336907
4,4,3000986469
