Source,Target,Value
0,0,98912725
0,1,8055245
0,2,18183285
0,3,9915590
0,4,679022170
1,0,79130180
1,1,6444196
1,2,14546628
1,3,7932472
1,4,543217736
2,0,138477815
2,1,11277343
2,2,25456599
2,3,13881826
2,4,950631038
3,0,19782545
3,4,135804434
4,0,257173085
4,1,20943637
4,2,47276541
4,3,25780534
4,4,1765457642
