Source,Target,Value
0,0,16571405
0,1,1562127
0,2,3342829
0,3,1976766
0,4,132544728
1,4,6118925
2,0,1927586
2,2,68980481
2,4,40905016
3,0,1880935
3,1,989615
3,4,7459165
4,0,107824186
4,1,12490415
4,2,79944765
4,3,7757622
4,4,468183663
