From_Class,From_Label,To_Class,To_Label,Count
4,Savanna Formation,21,Mosaic of Uses,8868510
4,Savanna Formation,15,Pasture,7043752
4,Savanna Formation,3,Forest Formation,533863
4,Savanna Formation,0,No data,76
4,Savanna Formation,20,Sugar Cane,16635
4,Savanna Formation,33,River Lake and Ocean,334474
4,Savanna Formation,12,Grassland,190606
4,Savanna Formation,25,Other non Vegetated Areas,69619
4,Savanna Formation,24,Urban Area,12204
4,Savanna Formation,48,Other Perennial Crops,129740
4,Savanna Formation,5,Mangrove,1
4,Savanna Formation,41,Other Temporary Crops,59090
4,Savanna Formation,11,Wetland,1
4,Savanna Formation,30,Mining,1238
4,Savanna Formation,9,Forest Plantation,134
4,Savanna Formation,39,Soybean,2
21,Mosaic of Uses,4,Savanna Formation,5704572
21,Mosaic of Uses,15,Pasture,20239588
21,Mosaic of Uses,3,Forest Formation,767568
21,Mosaic of Uses,0,No data,823
21,Mosaic of Uses,20,Sugar Cane,233458
21,Mosaic of Uses,33,River Lake and Ocean,542852
21,Mosaic of Uses,12,Grassland,457521
21,Mosaic of Uses,25,Other non Vegetated Areas,606723
21,Mosaic of Uses,24,Urban Area,187640
21,Mosaic of Uses,48,Other Perennial Crops,93117
21,Mosaic of Uses,5,Mangrove,3872
21,Mosaic of Uses,41,Other Temporary Crops,104675
21,Mosaic of Uses,11,Wetland,2103
21,Mosaic of Uses,32,Hypersaline Tidal Flat,1125
21,Mosaic of Uses,23,Beach and Sand,2181
21,Mosaic of Uses,30,Mining,2403
21,Mosaic of Uses,31,Aquaculture,1334
21,Mosaic of Uses,9,Forest Plantation,1310
15,Pasture,4,Savanna Formation,5036795
15,Pasture,21,Mosaic of Uses,12642957
15,Pasture,3,Forest Formation,211641
15,Pasture,0,No data,102
15,Pasture,20,Sugar Cane,106961
15,Pasture,33,River Lake and Ocean,203602
15,Pasture,12,Grassland,184053
15,Pasture,25,Other non Vegetated Areas,293858
15,Pasture,24,Urban Area,149528
15,Pasture,48,Other Perennial Crops,181134
15,Pasture,41,Other Temporary Crops,702473
15,Pasture,11,Wetland,8
15,Pasture,30,Mining,821
15,Pasture,9,Forest Plantation,177
15,Pasture,39,Soybean,37
3,Forest Formation,4,Savanna Formation,480541
3,Forest Formation,21,Mosaic of Uses,660529
3,Forest Formation,15,Pasture,271350
3,Forest Formation,0,No data,448
3,Forest Formation,20,Sugar Cane,4388
3,Forest Formation,33,River Lake and Ocean,31815
3,Forest Formation,12,Grassland,505
3,Forest Formation,25,Other non Vegetated Areas,385
