From_Class,From_Label,To_Class,To_Label,Count
15,Pasture,3,Forest Formation,4751964
15,Pasture,0,No data,1914
15,Pasture,4,Savanna Formation,12406077
15,Pasture,21,Mosaic of Uses,145716062
15,Pasture,11,Wetland,4754942
15,Pasture,33,River Lake and Ocean,829970
15,Pasture,12,Grassland,4156952
15,Pasture,39,Soybean,23699349
15,Pasture,41,Other Temporary Crops,17540206
15,Pasture,25,Other non Vegetated Areas,2160367
15,Pasture,46,Coffee,294564
15,Pasture,24,Urban Area,563392
15,Pasture,9,Forest Plantation,8559925
15,Pasture,48,Other Perennial Crops,111286
15,Pasture,20,Sugar Cane,8149588
15,Pasture,29,Rocky Outcrop,411
15,Pasture,47,Citrus,3353
15,Pasture,30,Mining,3840
15,Pasture,40,Rice,5752
15,Pasture,62,Cotton,173
3,Forest Formation,15,Pasture,30566319
3,Forest Formation,0,No data,4897
3,Forest Formation,4,Savanna Formation,9991352
3,Forest Formation,21,Mosaic of Uses,24555024
3,Forest Formation,11,Wetland,3532837
3,Forest Formation,33,River Lake and Ocean,1150987
3,Forest Formation,12,Grassland,2499144
3,Forest Formation,39,Soybean,656934
3,Forest Formation,41,Other Temporary Crops,818289
3,Forest Formation,25,Other non Vegetated Areas,327021
3,Forest Formation,46,Coffee,36748
3,Forest Formation,24,Urban Area,16762
3,Forest Formation,9,Forest Plantation,1828503
3,Forest Formation,48,Other Perennial Crops,7210
3,Forest Formation,20,Sugar Cane,32986
3,Forest Formation,29,Rocky Outcrop,225
3,Forest Formation,47,Citrus,1999
3,Forest Formation,30,Mining,2955
3,Forest Formation,40,Rice,55
3,Forest Formation,62,Cotton,1
0,No data,15,Pasture,1429
0,No data,3,Forest Formation,5689
0,No data,4,Savanna Formation,346
0,No data,21,Mosaic of Uses,7661
0,No data,11,Wetland,3350
0,No data,33,River Lake and Ocean,3097
0,No data,12,Grassland,3675
0,No data,39,Soybean,1027
0,No data,41,Other Temporary Crops,617
0,No data,25,Other non Vegetated Areas,223
0,No data,46,Coffee,12
0,No data,24,Urban Area,76
0,No data,9,Forest Plantation,37
0,No data,48,Other Perennial Crops,23
0,No data,20,Sugar Cane,44
4,Savanna Formation,15,Pasture,44208385
4,Savanna Formation,3,Forest Formation,12758072
4,Savanna Formation,0,No data,356
4,Savanna Formation,21,Mosaic of Uses,12997321
4,Savanna Formation,11,Wetland,10222807
4,Savanna Formation,33,River Lake and Ocean,1366001
4,Savanna Formation,12,Grassland,14646627
4,Savanna Formation,39,Soybean,498318
4,Savanna Formation,41,Other Temporary Crops,104724
4,Savanna Formation,25,Other non Vegetated Areas,979175
4,Savanna Formation,46,Coffee,3108
4,Savanna Formation,24,Urban Area,10711
